#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
ACS_F606W,4.66,4.72,4.89,-26.92,-26.85,-26.68,0.063,0.233,0.5922,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F625W,4.49,4.63,4.94,-27.08,-26.94,-26.64,0.140,0.448,0.6312,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F775W,4.16,4.52,5.26,-27.42,-27.05,-26.31,0.364,1.103,0.7694,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F814W,4.12,4.52,5.36,-27.46,-27.06,-26.22,0.400,1.239,0.8059,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F850LP,4.01,4.50,5.59,-27.56,-27.07,-25.98,0.494,1.577,0.9016,ftp://ftp.stsci.edu/cdbs/comp/acs
WFC3_UV1_F200LP,4.92,5.34,5.14,-26.65,-26.23,-26.44,0.423,0.215,0.4974,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F200LP,4.92,5.34,5.14,-26.65,-26.23,-26.44,0.423,0.215,0.4974,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F218W,9.09,10.74,8.79,-22.48,-20.83,-22.78,1.654,-0.298,0.2229,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F225W,8.51,10.13,8.32,-23.06,-21.44,-23.25,1.625,-0.191,0.2372,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F336W,5.49,6.64,5.58,-26.09,-24.93,-25.99,1.158,0.094,0.3355,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV1_F350LP,4.78,4.91,5.06,-26.79,-26.66,-26.52,0.132,0.278,0.5857,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F350LP,4.78,4.91,5.06,-26.79,-26.66,-26.52,0.132,0.278,0.5857,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F390W,5.66,5.85,5.12,-25.91,-25.73,-26.45,0.187,-0.536,0.3924,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F438W,5.50,5.32,4.81,-26.07,-26.25,-26.76,-0.178,-0.690,0.4326,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F475W,5.19,5.07,4.77,-26.38,-26.50,-26.80,-0.122,-0.419,0.4774,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV1_F487N,4.85,5.02,4.76,-26.72,-26.55,-26.81,0.167,-0.087,0.4871,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F487N,4.85,5.02,4.76,-26.72,-26.55,-26.81,0.167,-0.087,0.4871,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F555W,4.91,4.86,4.79,-26.67,-26.72,-26.78,-0.048,-0.116,0.5308,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV1_F600LP,4.25,4.55,5.22,-27.32,-27.02,-26.35,0.300,0.969,0.7450,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F600LP,4.25,4.55,5.22,-27.32,-27.02,-26.35,0.300,0.969,0.7450,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F606W,4.67,4.73,4.88,-26.91,-26.85,-26.69,0.059,0.217,0.5887,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F625W,4.52,4.64,4.92,-27.06,-26.93,-26.65,0.124,0.409,0.6241,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV1_F689M,4.31,4.56,5.05,-27.27,-27.01,-26.52,0.253,0.748,0.6876,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F689M,4.31,4.56,5.05,-27.27,-27.01,-26.52,0.253,0.748,0.6876,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F775W,4.16,4.52,5.25,-27.41,-27.05,-26.33,0.357,1.083,0.7648,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F814W,4.12,4.52,5.35,-27.45,-27.06,-26.22,0.395,1.226,0.8030,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV1_F845M,4.03,4.51,5.45,-27.54,-27.07,-26.13,0.476,1.415,0.8438,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_UV2_F845M,4.03,4.51,5.45,-27.54,-27.07,-26.13,0.476,1.415,0.8438,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F098m,3.96,4.50,5.78,-27.61,-27.07,-25.79,0.538,1.816,0.9864,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F105W,3.89,4.51,5.94,-27.68,-27.06,-25.63,0.622,2.046,1.0551,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F125W,3.66,4.54,6.33,-27.91,-27.03,-25.24,0.877,2.667,1.2486,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F140W,3.51,4.56,6.59,-28.06,-27.01,-24.98,1.052,3.079,1.3922,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F160W,3.37,4.60,6.84,-28.20,-26.97,-24.73,1.228,3.469,1.5370,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFPC2_F218W,9.17,10.83,8.86,-22.40,-20.74,-22.72,1.657,-0.316,0.2207,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F300W,6.10,7.40,6.09,-25.48,-24.17,-25.48,1.307,-0.005,0.2992,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F450W,5.31,5.20,4.80,-26.26,-26.37,-26.77,-0.110,-0.509,0.4556,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F555W,4.84,4.82,4.81,-26.73,-26.75,-26.77,-0.025,-0.038,0.5442,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F606W,4.62,4.70,4.90,-26.95,-26.87,-26.67,0.077,0.276,0.6001,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F702W,4.33,4.57,5.08,-27.24,-27.00,-26.49,0.240,0.748,0.6919,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F814W,4.12,4.52,5.34,-27.45,-27.05,-26.23,0.392,1.216,0.8002,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
